query,category,query_clean,category_encoded
Can I get clarification on the various fees outlined in my invoice?,Billing Issue,can i get clarification on the various fees outlined in my invoice?,0
My bank statement shows a different amount than my invoice.,Billing Issue,my bank statement shows a different amount than my invoice.,0
I'm being charged for a higher tier of service than I subscribed to.,Billing Issue,im being charged for a higher tier of service than i subscribed to.,0
I paid my invoice but it's still showing as unpaid on your system.,Billing Issue,i paid my invoice but its still showing as unpaid on your system.,0
I'm unsure why I'm receiving this invoice; I've never used your service.,Billing Issue,im unsure why im receiving this invoice ive never used your service.,0
My billing address is incorrect on the invoice. Please update it.,Billing Issue,my billing address is incorrect on the invoice. please update it.,0
There's a significant difference between my invoice and my bank statement.,Billing Issue,theres a significant difference between my invoice and my bank statement.,0
"I have proof of payment, but your system doesn't show it.",Billing Issue,i have proof of payment but your system doesnt show it.,0
I contacted customer support last week about billing issues; no response yet.,Billing Issue,i contacted customer support last week about billing issues no response yet.,0
"The software stopped working due to a payment issue, even though I paid.",Billing Issue,the software stopped working due to a payment issue even though i paid.,0
The currency displayed on my invoice is incorrect.,Billing Issue,the currency displayed on my invoice is incorrect.,0
I request a detailed breakdown of the charges on my latest invoice.,Billing Issue,i request a detailed breakdown of the charges on my latest invoice.,0
I was charged a setup fee that wasn't disclosed during the signup process.,Billing Issue,i was charged a setup fee that wasnt disclosed during the signup process.,0
"My payment method was updated, but the system is still using the old one.",Billing Issue,my payment method was updated but the system is still using the old one.,0
Why am I being charged for something I specifically opted out of?,Billing Issue,why am i being charged for something i specifically opted out of?,0
I accidentally selected the wrong billing cycle. Can I adjust this?,Billing Issue,i accidentally selected the wrong billing cycle. can i adjust this?,0
This month's invoice is much higher than previous months.  Why?,Billing Issue,this months invoice is much higher than previous months. why?,0
I require an immediate refund for the excessive charges applied.,Billing Issue,i require an immediate refund for the excessive charges applied.,0
I have proof of payment but the system shows a payment failure.,Billing Issue,i have proof of payment but the system shows a payment failure.,0
My payment is clearly visible on my bank statement.  Why is it not recorded?,Billing Issue,my payment is clearly visible on my bank statement. why is it not recorded?,0
The software is still charging me after I deleted my account.,Billing Issue,the software is still charging me after i deleted my account.,0
"My invoice is missing some key details, making it difficult to reconcile.",Billing Issue,my invoice is missing some key details making it difficult to reconcile.,0
I'm experiencing recurring billing issues that need urgent attention.,Billing Issue,im experiencing recurring billing issues that need urgent attention.,0
This is unacceptable; I expect a prompt resolution to this billing error.,Billing Issue,this is unacceptable i expect a prompt resolution to this billing error.,0
"I haven't received an invoice yet, though my card has been charged.",Billing Issue,i havent received an invoice yet though my card has been charged.,0
The automated payment failed.  Please clarify the next steps.,Billing Issue,the automated payment failed. please clarify the next steps.,0
I have a screen recording showing the payment confirmation.,Billing Issue,i have a screen recording showing the payment confirmation.,0
"My payment was declined, but I never received a notification.",Billing Issue,my payment was declined but i never received a notification.,0
I need to change my billing information; how can I do this securely?,Billing Issue,i need to change my billing information how can i do this securely?,0
There's a missing payment showing on my account summary.,Billing Issue,theres a missing payment showing on my account summary.,0
The invoice total doesn't match the breakdown of charges.,Billing Issue,the invoice total doesnt match the breakdown of charges.,0
I've been charged for inactive users; this should be corrected.,Billing Issue,ive been charged for inactive users this should be corrected.,0
I request a full refund for the entire billing cycle.,Billing Issue,i request a full refund for the entire billing cycle.,0
Can you please send me a corrected invoice?,Billing Issue,can you please send me a corrected invoice?,0
My subscription should have automatically renewed at a lower price.,Billing Issue,my subscription should have automatically renewed at a lower price.,0
The prorated amount on my invoice is incorrect.,Billing Issue,the prorated amount on my invoice is incorrect.,0
"I paid through PayPal, but the transaction doesn't show on your system.",Billing Issue,i paid through paypal but the transaction doesnt show on your system.,0
I need to update my credit card information before the next billing cycle.,Billing Issue,i need to update my credit card information before the next billing cycle.,0
"My account was billed twice this month, for the same services.",Billing Issue,my account was billed twice this month for the same services.,0
Please investigate this billing discrepancy; I'm very concerned.,Billing Issue,please investigate this billing discrepancy im very concerned.,0
I'm being charged for a trial period after cancelling my trial.,Billing Issue,im being charged for a trial period after cancelling my trial.,0
I'm being charged for a service I never agreed to.  This is fraud.,Billing Issue,im being charged for a service i never agreed to. this is fraud.,0
My billing information is incorrect on file. Please fix this.,Billing Issue,my billing information is incorrect on file. please fix this.,0
"I've tried paying my invoice multiple times, but it keeps failing.",Billing Issue,ive tried paying my invoice multiple times but it keeps failing.,0
I need a written confirmation of my refund request.,Billing Issue,i need a written confirmation of my refund request.,0
The website shows an incorrect billing status for my account.,Billing Issue,the website shows an incorrect billing status for my account.,0
Why am I being charged additional tax? I'm exempt.,Billing Issue,why am i being charged additional tax? im exempt.,0
I would like to see a history of all my past invoices.,Billing Issue,i would like to see a history of all my past invoices.,0
I'm concerned about the security of my payment information.,Billing Issue,im concerned about the security of my payment information.,0
I canceled my account but am still receiving charges.,Billing Issue,i canceled my account but am still receiving charges.,0
This invoice does not reflect my current subscription level.,Billing Issue,this invoice does not reflect my current subscription level.,0
My automatic payment failed; please resend the payment request.,Billing Issue,my automatic payment failed please resend the payment request.,0
There's an unexpected charge on my statement; I need to understand why.,Billing Issue,theres an unexpected charge on my statement i need to understand why.,0
"I requested a prorated refund, but received a full refund instead.",Billing Issue,i requested a prorated refund but received a full refund instead.,0
I'm not sure which invoice this payment refers to.,Billing Issue,im not sure which invoice this payment refers to.,0
"My bank rejected the payment, but I haven't been notified.",Billing Issue,my bank rejected the payment but i havent been notified.,0
"My subscription is overdue, but I already paid the invoice.",Billing Issue,my subscription is overdue but i already paid the invoice.,0
I'm unable to access the billing portal to view my invoices.,Billing Issue,im unable to access the billing portal to view my invoices.,0
The system is showing an incorrect balance on my account.,Billing Issue,the system is showing an incorrect balance on my account.,0
I need help understanding the charges on my recent invoice.,Billing Issue,i need help understanding the charges on my recent invoice.,0
I paid via wire transfer; can you confirm receipt of the funds?,Billing Issue,i paid via wire transfer can you confirm receipt of the funds?,0
My invoice shows a payment due date that's in the past.,Billing Issue,my invoice shows a payment due date thats in the past.,0
My credit card expiry date has changed; please update your records.,Billing Issue,my credit card expiry date has changed please update your records.,0
"I cancelled my subscription over the phone, but the billing continues.",Billing Issue,i cancelled my subscription over the phone but the billing continues.,0
The system is showing a different payment method than the one I use.,Billing Issue,the system is showing a different payment method than the one i use.,0
I need confirmation that my refund has been processed.,Billing Issue,i need confirmation that my refund has been processed.,0
The billing details on my invoice are incomplete and inaccurate.,Billing Issue,the billing details on my invoice are incomplete and inaccurate.,0
I'm being charged for more users than are actually on my plan.,Billing Issue,im being charged for more users than are actually on my plan.,0
I have questions about my invoice; can someone call me?,Billing Issue,i have questions about my invoice can someone call me?,0
I've been overcharged for several months; I need a credit.,Billing Issue,ive been overcharged for several months i need a credit.,0
Please provide a breakdown of the VAT included in my invoice.,Billing Issue,please provide a breakdown of the vat included in my invoice.,0
There's a problem with my recurring payment; it keeps failing.,Billing Issue,theres a problem with my recurring payment it keeps failing.,0
I'm concerned that my payment information might have been compromised.,Billing Issue,im concerned that my payment information might have been compromised.,0
The invoice shows incorrect pricing for my subscribed services.,Billing Issue,the invoice shows incorrect pricing for my subscribed services.,0
The invoice amount is significantly higher than expected.,Billing Issue,the invoice amount is significantly higher than expected.,0
I request a detailed explanation of these extra fees.,Billing Issue,i request a detailed explanation of these extra fees.,0
I haven't used the software but am still being billed.,Billing Issue,i havent used the software but am still being billed.,0
I need to change my billing email address.,Billing Issue,i need to change my billing email address.,0
I’m being charged even though my contract has ended.,Billing Issue,im being charged even though my contract has ended.,0
"My invoice shows an outstanding balance, despite my payment.",Billing Issue,my invoice shows an outstanding balance despite my payment.,0
"The payment gateway reported an error, but I'm still charged.",Billing Issue,the payment gateway reported an error but im still charged.,0
My subscription status is incorrect; it's showing as inactive.,Billing Issue,my subscription status is incorrect its showing as inactive.,0
I can't access my billing history; this feature is broken.,Billing Issue,i cant access my billing history this feature is broken.,0
I'm receiving incorrect invoices; please fix this immediately.,Billing Issue,im receiving incorrect invoices please fix this immediately.,0
I need a clear explanation of the recurring charges on my account.,Billing Issue,i need a clear explanation of the recurring charges on my account.,0
I've been charged for a service I've never even heard of.,Billing Issue,ive been charged for a service ive never even heard of.,0
I'm experiencing unexpected billing inconsistencies.,Billing Issue,im experiencing unexpected billing inconsistencies.,0
"My trial period ended, but I haven't received an invoice yet.",Billing Issue,my trial period ended but i havent received an invoice yet.,0
The automatic renewal option should have been disabled.,Billing Issue,the automatic renewal option should have been disabled.,0
The charges don't match the agreed-upon pricing in my contract.,Billing Issue,the charges dont match the agreedupon pricing in my contract.,0
"My account shows a negative balance, which is incorrect.",Billing Issue,my account shows a negative balance which is incorrect.,0
I've contacted support multiple times with no resolution.,Billing Issue,ive contacted support multiple times with no resolution.,0
There's a significant discrepancy between the expected and actual charges.,Billing Issue,theres a significant discrepancy between the expected and actual charges.,0
"I need clarification on a charge for ""technical support"" - I never requested it.",Billing Issue,i need clarification on a charge for technical support i never requested it.,0
My payment is showing as pending indefinitely.,Billing Issue,my payment is showing as pending indefinitely.,0
There is a problem with the automatic renewal process.,Billing Issue,there is a problem with the automatic renewal process.,0
I accidentally subscribed to the wrong plan and need a refund.,Billing Issue,i accidentally subscribed to the wrong plan and need a refund.,0
The invoice doesn't reflect the services I'm currently using.,Billing Issue,the invoice doesnt reflect the services im currently using.,0
"I'm being overcharged for storage, which is below my plan's limit.",Billing Issue,im being overcharged for storage which is below my plans limit.,0
"My payment method has expired, but I haven't received a notification.",Billing Issue,my payment method has expired but i havent received a notification.,0
There's a confusing overlap between my current and previous billing cycle.,Billing Issue,theres a confusing overlap between my current and previous billing cycle.,0
The total on my invoice doesn't add up to the individual charges.,Billing Issue,the total on my invoice doesnt add up to the individual charges.,0
Please investigate this unexpected and unexplained charge.,Billing Issue,please investigate this unexpected and unexplained charge.,0
I need a confirmation of my payment for invoice number [random number].,Billing Issue,i need a confirmation of my payment for invoice number random number.,0
"The software is malfunctioning, yet I'm still being charged.",Billing Issue,the software is malfunctioning yet im still being charged.,0
I have a dispute with my bank; please investigate my payment status.,Billing Issue,i have a dispute with my bank please investigate my payment status.,0
I believe I've been a victim of fraudulent billing activity.,Billing Issue,i believe ive been a victim of fraudulent billing activity.,0
"My account is locked due to an unpaid invoice, even though I paid.",Billing Issue,my account is locked due to an unpaid invoice even though i paid.,0
I’m requesting a cancellation and a refund for unused services.,Billing Issue,im requesting a cancellation and a refund for unused services.,0
I need help understanding the terms of my billing agreement.,Billing Issue,i need help understanding the terms of my billing agreement.,0
I'm being charged extra for features included in my plan.,Billing Issue,im being charged extra for features included in my plan.,0
My invoice is in the wrong currency; it should be in USD.,Billing Issue,my invoice is in the wrong currency it should be in usd.,0
The software was unusable for most of the billing cycle.,Billing Issue,the software was unusable for most of the billing cycle.,0
I should be receiving a discount based on my contract agreement.,Billing Issue,i should be receiving a discount based on my contract agreement.,0
"My payment was successfully processed, but it's still marked as unpaid.",Billing Issue,my payment was successfully processed but its still marked as unpaid.,0
The prorated amount for my cancelled subscription is inaccurate.,Billing Issue,the prorated amount for my cancelled subscription is inaccurate.,0
"My invoice is missing essential details, like the date of service.",Billing Issue,my invoice is missing essential details like the date of service.,0
I haven't been able to access my account due to billing issues.,Billing Issue,i havent been able to access my account due to billing issues.,0
The billing system has been consistently unreliable this month.,Billing Issue,the billing system has been consistently unreliable this month.,0
I paid a larger amount than the invoice requested.  I need the overpayment returned.,Billing Issue,i paid a larger amount than the invoice requested. i need the overpayment returned.,0
I request assistance in understanding the billing details of my account.,Billing Issue,i request assistance in understanding the billing details of my account.,0
My invoice showed a recurring fee I didn't authorize.  Please investigate.,Billing Issue,my invoice showed a recurring fee i didnt authorize. please investigate.,0
I was charged twice for the same billing cycle.  Need a refund ASAP.,Billing Issue,i was charged twice for the same billing cycle. need a refund asap.,0
There's a discrepancy between my payment and the invoice amount.,Billing Issue,theres a discrepancy between my payment and the invoice amount.,0
I'm being overcharged; my subscription plan doesn't justify this fee.,Billing Issue,im being overcharged my subscription plan doesnt justify this fee.,0
The invoice doesn't match what I agreed to in my contract.,Billing Issue,the invoice doesnt match what i agreed to in my contract.,0
"My payment clearly went through, but it's marked as unpaid.",Billing Issue,my payment clearly went through but its marked as unpaid.,0
"I canceled my subscription, but I'm still being charged.",Billing Issue,i canceled my subscription but im still being charged.,0
This month's invoice is significantly higher than usual – why?,Billing Issue,this months invoice is significantly higher than usual why?,0
I haven't received an invoice this month.,Billing Issue,i havent received an invoice this month.,0
The billing cycle seems to be off; I was charged early.,Billing Issue,the billing cycle seems to be off i was charged early.,0
I requested a refund two weeks ago and haven't heard back.,Billing Issue,i requested a refund two weeks ago and havent heard back.,0
My credit card was charged an unexpected late fee.,Billing Issue,my credit card was charged an unexpected late fee.,0
The invoice is unclear; I can't figure out what I'm paying for.,Billing Issue,the invoice is unclear i cant figure out what im paying for.,0
I'm being overcharged for features I don't use.,Billing Issue,im being overcharged for features i dont use.,0
My payment method is incorrect on the invoice.,Billing Issue,my payment method is incorrect on the invoice.,0
I was charged for a trial period after I canceled it.,Billing Issue,i was charged for a trial period after i canceled it.,0
Can you clarify the extra charges on my latest invoice?,Billing Issue,can you clarify the extra charges on my latest invoice?,0
I need a breakdown of the different fees on my invoice.,Billing Issue,i need a breakdown of the different fees on my invoice.,0
"The automated payment failed, but I made the payment manually.",Billing Issue,the automated payment failed but i made the payment manually.,0
I'm experiencing a billing error and need assistance.,Billing Issue,im experiencing a billing error and need assistance.,0
My invoice shows a different amount than my bank statement.,Billing Issue,my invoice shows a different amount than my bank statement.,0
I believe there's a processing error on my payment.,Billing Issue,i believe theres a processing error on my payment.,0
I'm being charged for a service I never used.,Billing Issue,im being charged for a service i never used.,0
The invoice is missing crucial information.,Billing Issue,the invoice is missing crucial information.,0
Could you please send me a copy of my invoice?,Billing Issue,could you please send me a copy of my invoice?,0
I think I've been double-billed this month.,Billing Issue,i think ive been doublebilled this month.,0
There's a significant discrepancy in my billing statement.,Billing Issue,theres a significant discrepancy in my billing statement.,0
I need a detailed explanation of the charges on my account.,Billing Issue,i need a detailed explanation of the charges on my account.,0
"I contacted support, but my billing issue remains unresolved.",Billing Issue,i contacted support but my billing issue remains unresolved.,0
The billing system seems to have a glitch.,Billing Issue,the billing system seems to have a glitch.,0
I was charged for a service that was down for days.,Billing Issue,i was charged for a service that was down for days.,0
"My payment was declined, but I've resolved the issue.",Billing Issue,my payment was declined but ive resolved the issue.,0
I need to update my payment information.,Billing Issue,i need to update my payment information.,0
Can you provide a prorated refund for my cancellation?,Billing Issue,can you provide a prorated refund for my cancellation?,0
The invoice is difficult to understand.,Billing Issue,the invoice is difficult to understand.,0
I'm having trouble accessing my billing history.,Billing Issue,im having trouble accessing my billing history.,0
I received an error message when trying to make a payment.,Billing Issue,i received an error message when trying to make a payment.,0
Why am I being charged a setup fee again?,Billing Issue,why am i being charged a setup fee again?,0
My subscription should have renewed at a lower rate.,Billing Issue,my subscription should have renewed at a lower rate.,0
There's an unexpected charge for additional users.,Billing Issue,theres an unexpected charge for additional users.,0
"I cancelled my account, but I’m still getting invoices.",Billing Issue,i cancelled my account but im still getting invoices.,0
I'm unsure why I've been charged this extra fee.,Billing Issue,im unsure why ive been charged this extra fee.,0
This month's invoice is much higher than expected.,Billing Issue,this months invoice is much higher than expected.,0
I need to change my billing address.,Billing Issue,i need to change my billing address.,0
Please investigate a potential billing error on my account.,Billing Issue,please investigate a potential billing error on my account.,0
"My account is showing an outstanding balance, which is incorrect.",Billing Issue,my account is showing an outstanding balance which is incorrect.,0
I’ve been charged for a feature I didn’t select.,Billing Issue,ive been charged for a feature i didnt select.,0
My payment failed due to a bank error.,Billing Issue,my payment failed due to a bank error.,0
I'm confused by the charges on my recent invoice.,Billing Issue,im confused by the charges on my recent invoice.,0
"I requested a change to my billing cycle, but it hasn't been updated.",Billing Issue,i requested a change to my billing cycle but it hasnt been updated.,0
The invoice shows an incorrect number of users.,Billing Issue,the invoice shows an incorrect number of users.,0
I need a pro-rata refund for the unused portion of my subscription.,Billing Issue,i need a prorata refund for the unused portion of my subscription.,0
My credit card was charged without my authorization.,Billing Issue,my credit card was charged without my authorization.,0
The billing details on the invoice are incorrect.,Billing Issue,the billing details on the invoice are incorrect.,0
I'm unable to download my invoice.,Billing Issue,im unable to download my invoice.,0
Please confirm my payment has been received.,Billing Issue,please confirm my payment has been received.,0
I'm being charged for a service that's not working correctly.,Billing Issue,im being charged for a service thats not working correctly.,0
My invoice is missing line items.,Billing Issue,my invoice is missing line items.,0
I need help understanding my billing statement.,Billing Issue,i need help understanding my billing statement.,0
I'm experiencing recurring billing errors.,Billing Issue,im experiencing recurring billing errors.,0
There's a problem with my automatic payment.,Billing Issue,theres a problem with my automatic payment.,0
The invoice date is incorrect.,Billing Issue,the invoice date is incorrect.,0
Could you resend my invoice?,Billing Issue,could you resend my invoice?,0
I was wrongly charged a late fee.,Billing Issue,i was wrongly charged a late fee.,0
I received a duplicate invoice.,Billing Issue,i received a duplicate invoice.,0
My billing cycle has changed without my consent.,Billing Issue,my billing cycle has changed without my consent.,0
I requested a refund but it hasn't been processed.,Billing Issue,i requested a refund but it hasnt been processed.,0
My bank statement doesn't match the invoice amount.,Billing Issue,my bank statement doesnt match the invoice amount.,0
Can you explain the different pricing tiers?,Billing Issue,can you explain the different pricing tiers?,0
I'm disputing the charges on my last invoice.,Billing Issue,im disputing the charges on my last invoice.,0
I need clarification on the additional charges.,Billing Issue,i need clarification on the additional charges.,0
I believe I've been overbilled for this month.,Billing Issue,i believe ive been overbilled for this month.,0
There's a discrepancy between the invoice and my agreement.,Billing Issue,theres a discrepancy between the invoice and my agreement.,0
The total amount due on my invoice is incorrect.,Billing Issue,the total amount due on my invoice is incorrect.,0
My payment hasn't been credited to my account.,Billing Issue,my payment hasnt been credited to my account.,0
I'm having trouble paying my invoice online.,Billing Issue,im having trouble paying my invoice online.,0
The support team couldn't resolve my billing issue.,Billing Issue,the support team couldnt resolve my billing issue.,0
I was charged extra for storage I didn't use.,Billing Issue,i was charged extra for storage i didnt use.,0
I'm being charged for users that have left the company.,Billing Issue,im being charged for users that have left the company.,0
Can you adjust the billing cycle to match my request?,Billing Issue,can you adjust the billing cycle to match my request?,0
The billing system is showing an incorrect account balance.,Billing Issue,the billing system is showing an incorrect account balance.,0
I think there might be a bug in your billing system.,Billing Issue,i think there might be a bug in your billing system.,0
I need to update my payment method for future invoices.,Billing Issue,i need to update my payment method for future invoices.,0
My invoice is for the wrong amount.,Billing Issue,my invoice is for the wrong amount.,0
I've already paid this invoice.,Billing Issue,ive already paid this invoice.,0
The late fee is excessive.,Billing Issue,the late fee is excessive.,0
There's an error on my invoice.,Billing Issue,theres an error on my invoice.,0
The invoice doesn't match my contract.,Billing Issue,the invoice doesnt match my contract.,0
I’m being double-billed for this service.,Billing Issue,im being doublebilled for this service.,0
My payment has been pending for too long.,Billing Issue,my payment has been pending for too long.,0
I’m having difficulty downloading my invoice.,Billing Issue,im having difficulty downloading my invoice.,0
The invoice total is inaccurate.,Billing Issue,the invoice total is inaccurate.,0
I haven’t received an invoice in several months.,Billing Issue,i havent received an invoice in several months.,0
There’s an unexplained charge on my account.,Billing Issue,theres an unexplained charge on my account.,0
I'm concerned about unauthorized charges.,Billing Issue,im concerned about unauthorized charges.,0
Please clarify the charges on this invoice.,Billing Issue,please clarify the charges on this invoice.,0
My payment was processed but not applied to my account.,Billing Issue,my payment was processed but not applied to my account.,0
The billing cycle is confusing.,Billing Issue,the billing cycle is confusing.,0
I need assistance understanding my billing.,Billing Issue,i need assistance understanding my billing.,0
The system is incorrectly charging me for deleted users.,Billing Issue,the system is incorrectly charging me for deleted users.,0
I need to update my billing contact information.,Billing Issue,i need to update my billing contact information.,0
I think I've been wrongly charged for an upgrade.,Billing Issue,i think ive been wrongly charged for an upgrade.,0
My account is showing the wrong billing date.,Billing Issue,my account is showing the wrong billing date.,0
There's a large discrepancy in the charges.,Billing Issue,theres a large discrepancy in the charges.,0
I need a breakdown of all fees and charges.,Billing Issue,i need a breakdown of all fees and charges.,0
My invoice shows an incorrect currency.,Billing Issue,my invoice shows an incorrect currency.,0
The invoice is unclear and confusing.,Billing Issue,the invoice is unclear and confusing.,0
I need a detailed explanation of the billing error.,Billing Issue,i need a detailed explanation of the billing error.,0
"My subscription ended, but I'm still being billed.",Billing Issue,my subscription ended but im still being billed.,0
I'm being charged for a feature I didn't request.,Billing Issue,im being charged for a feature i didnt request.,0
My payment information was entered incorrectly.,Billing Issue,my payment information was entered incorrectly.,0
Please confirm the amount due on this invoice.,Billing Issue,please confirm the amount due on this invoice.,0
I'm requesting a refund for the overcharge.,Billing Issue,im requesting a refund for the overcharge.,0
The invoice date doesn't align with the billing cycle.,Billing Issue,the invoice date doesnt align with the billing cycle.,0
I'm experiencing issues with the online payment system.,Billing Issue,im experiencing issues with the online payment system.,0
The invoice lacks important details.,Billing Issue,the invoice lacks important details.,0
There’s a problem with my automatic payment setup.,Billing Issue,theres a problem with my automatic payment setup.,0
I request a refund for the incorrect charges.,Billing Issue,i request a refund for the incorrect charges.,0
The system is charging me for an inactive user.,Billing Issue,the system is charging me for an inactive user.,0
My payment should be reflected on my account.,Billing Issue,my payment should be reflected on my account.,0
I'm disputing this invoice.,Billing Issue,im disputing this invoice.,0
I need help resolving my billing discrepancies.,Billing Issue,i need help resolving my billing discrepancies.,0
The billing statement is difficult to interpret.,Billing Issue,the billing statement is difficult to interpret.,0
I need a new invoice with the correct information.,Billing Issue,i need a new invoice with the correct information.,0
I've made multiple payment attempts without success.,Billing Issue,ive made multiple payment attempts without success.,0
The charges on this invoice are unexpected.,Billing Issue,the charges on this invoice are unexpected.,0
I require an explanation of the additional fees.,Billing Issue,i require an explanation of the additional fees.,0
I'm requesting a full refund.,Billing Issue,im requesting a full refund.,0
I'm concerned about possible fraud.,Billing Issue,im concerned about possible fraud.,0
My billing information needs to be corrected.,Billing Issue,my billing information needs to be corrected.,0
There is an error in the invoice amount.,Billing Issue,there is an error in the invoice amount.,0
I'm unsure why I’m being charged for this.,Billing Issue,im unsure why im being charged for this.,0
This invoice is not accurate.,Billing Issue,this invoice is not accurate.,0
The billing system has malfunctioned.,Billing Issue,the billing system has malfunctioned.,0
I’m having issues accessing my billing account.,Billing Issue,im having issues accessing my billing account.,0
My automatic payment is failing repeatedly.,Billing Issue,my automatic payment is failing repeatedly.,0
I need to speak with someone about my billing.,Billing Issue,i need to speak with someone about my billing.,0
There is a discrepancy in the dates on my invoice.,Billing Issue,there is a discrepancy in the dates on my invoice.,0
I'm requesting a credit for the overcharge.,Billing Issue,im requesting a credit for the overcharge.,0
My invoice seems to be duplicated.,Billing Issue,my invoice seems to be duplicated.,0
The billing cycle is inconsistent.,Billing Issue,the billing cycle is inconsistent.,0
I need help understanding this charge.,Billing Issue,i need help understanding this charge.,0
The payment processor declined my transaction.,Billing Issue,the payment processor declined my transaction.,0
My card was charged an incorrect amount.,Billing Issue,my card was charged an incorrect amount.,0
I'm confused by the billing terms.,Billing Issue,im confused by the billing terms.,0
I request an updated invoice immediately.,Billing Issue,i request an updated invoice immediately.,0
I'm concerned about unexpected charges.,Billing Issue,im concerned about unexpected charges.,0
I need a clarification on my account balance.,Billing Issue,i need a clarification on my account balance.,0
I’ve been wrongly charged for a cancelled service.,Billing Issue,ive been wrongly charged for a cancelled service.,0
My credit card statement shows different charges.,Billing Issue,my credit card statement shows different charges.,0
There's a significant discrepancy between my payment and the invoice.,Billing Issue,theres a significant discrepancy between my payment and the invoice.,0
The invoice total is higher than my subscription cost.,Billing Issue,the invoice total is higher than my subscription cost.,0
I’m requesting a refund for the incorrect billing.,Billing Issue,im requesting a refund for the incorrect billing.,0
The system isn't reflecting my payment.,Billing Issue,the system isnt reflecting my payment.,0
"My payment has been processed, but the invoice remains unpaid.",Billing Issue,my payment has been processed but the invoice remains unpaid.,0
I need help resolving a billing issue.,Billing Issue,i need help resolving a billing issue.,0
The invoice number is incorrect.,Billing Issue,the invoice number is incorrect.,0
I'm being overcharged for storage.,Billing Issue,im being overcharged for storage.,0
My invoice shows a recurring fee I didn't authorize.  Please investigate.,Billing Issue,my invoice shows a recurring fee i didnt authorize. please investigate.,0
I was overcharged for this month's billing cycle; the amount is significantly higher than usual.,Billing Issue,i was overcharged for this months billing cycle the amount is significantly higher than usual.,0
There's a discrepancy between my payment and what's reflected on my invoice.,Billing Issue,theres a discrepancy between my payment and whats reflected on my invoice.,0
I requested a refund last week and haven't received it yet.,Billing Issue,i requested a refund last week and havent received it yet.,0
"The invoice is unclear, I can't understand what I'm being charged for.",Billing Issue,the invoice is unclear i cant understand what im being charged for.,0
My credit card was charged twice this month.,Billing Issue,my credit card was charged twice this month.,0
"I cancelled my subscription last month, yet I'm still being billed.",Billing Issue,i cancelled my subscription last month yet im still being billed.,0
